id,label
0,grid/good
1,tile/rough
2,hazelnut/hole
3,wood/good
4,capsule/poke
5,screw/scratch_head
6,metal_nut/flip
7,bottle/contamination
8,zipper/broken_teeth
9,screw/good
10,toothbrush/defective
11,cable/cut_outer_insulation
12,tile/oil
13,cable/good
14,screw/good
15,grid/bent
16,pill/color
17,cable/good
18,leather/color
19,hazelnut/print
20,zipper/fabric_border
21,metal_nut/color
22,transistor/good
23,screw/scratch_head
24,zipper/good
25,zipper/combined
26,wood/liquid
27,grid/glue
28,cable/missing_wire
29,hazelnut/good
30,pill/crack
31,tile/gray_stroke
32,tile/gray_stroke
33,carpet/good
34,transistor/cut_lead
35,cable/cut_inner_insulation
36,bottle/broken_small
37,grid/good
38,screw/manipulated_front
39,zipper/squeezed_teeth
40,metal_nut/bent
41,carpet/color
42,toothbrush/defective
43,leather/poke
44,cable/cut_inner_insulation
45,pill/color
46,metal_nut/bent
47,capsule/crack
48,tile/good
49,leather/glue
50,grid/good
51,capsule/crack
52,toothbrush/defective
53,bottle/good
54,zipper/combined
55,screw/thread_side
56,bottle/broken_small
57,metal_nut/scratch
58,pill/good
59,bottle/contamination
60,transistor/good
61,cable/cut_outer_insulation
62,zipper/split_teeth
63,capsule/scratch
64,leather/good
65,wood/color
66,zipper/broken_teeth
67,tile/oil
68,transistor/good
69,wood/good
70,screw/good
71,capsule/crack
72,zipper/split_teeth
73,hazelnut/good
74,wood/scratch
75,pill/scratch
76,zipper/split_teeth
77,screw/scratch_neck
78,zipper/good
79,zipper/squeezed_teeth
80,screw/thread_side
81,wood/hole
82,leather/good
83,hazelnut/print
84,hazelnut/print
85,cable/missing_wire
86,screw/thread_side
87,tile/good
88,tile/oil
89,carpet/hole
90,hazelnut/print
91,grid/good
92,screw/scratch_head
93,carpet/thread
94,hazelnut/crack
95,bottle/broken_small
96,capsule/good
97,carpet/color
98,zipper/good
99,pill/crack
100,zipper/fabric_interior
101,bottle/contamination
102,pill/contamination
103,tile/good
104,pill/faulty_imprint
105,leather/cut
106,capsule/squeeze
107,cable/good
108,tile/crack
109,tile/glue_strip
110,pill/combined
111,screw/thread_top
112,capsule/faulty_imprint
113,capsule/poke
114,wood/combined
115,tile/gray_stroke
116,pill/good
117,leather/fold
118,screw/good
119,wood/combined
120,cable/good
121,carpet/cut
122,capsule/scratch
123,leather/cut
124,pill/good
125,tile/good
126,zipper/combined
127,transistor/bent_lead
128,capsule/good
129,carpet/good
130,tile/crack
131,tile/oil
132,leather/fold
133,grid/bent
134,cable/cut_inner_insulation
135,transistor/cut_lead
136,zipper/fabric_interior
137,grid/good
138,screw/scratch_neck
139,carpet/cut
140,zipper/fabric_interior
141,capsule/faulty_imprint
142,screw/thread_side
143,leather/glue
144,cable/good
145,capsule/crack
146,bottle/good
147,cable/poke_insulation
148,pill/pill_type
149,tile/good
150,screw/thread_side
151,capsule/faulty_imprint
152,pill/scratch
153,pill/scratch
154,cable/poke_insulation
155,capsule/faulty_imprint
156,carpet/good
157,zipper/squeezed_teeth
158,carpet/thread
159,metal_nut/good
160,leather/glue
161,pill/pill_type
162,hazelnut/good
163,leather/fold
164,zipper/good
165,tile/good
166,grid/good
167,zipper/good
168,pill/scratch
169,hazelnut/good
170,tile/good
171,screw/good
172,leather/glue
173,grid/metal_contamination
174,leather/glue
175,carpet/good
176,carpet/color
177,transistor/damaged_case
178,carpet/thread
179,cable/combined
180,cable/good
181,grid/glue
182,hazelnut/good
183,pill/good
184,metal_nut/scratch
185,toothbrush/defective
186,cable/cut_inner_insulation
187,metal_nut/flip
188,leather/color
189,carpet/metal_contamination
190,carpet/good
191,cable/cut_outer_insulation
192,tile/glue_strip
193,transistor/good
194,metal_nut/flip
195,screw/manipulated_front
196,leather/cut
197,zipper/broken_teeth
198,capsule/crack
199,cable/missing_wire
200,screw/good
201,carpet/good
202,metal_nut/scratch
203,screw/manipulated_front
204,cable/missing_cable
205,leather/poke
206,wood/color
207,metal_nut/color
208,capsule/scratch
209,wood/good
210,bottle/good
211,wood/good
212,screw/manipulated_front
213,grid/good
214,carpet/hole
215,hazelnut/good
216,hazelnut/print
217,tile/oil
218,screw/thread_top
219,zipper/rough
220,bottle/good
221,screw/good
222,grid/good
223,screw/manipulated_front
224,carpet/cut
225,screw/good
226,capsule/scratch
227,zipper/rough
228,bottle/broken_small
229,screw/good
230,pill/good
231,bottle/contamination
232,hazelnut/hole
233,wood/scratch
234,zipper/squeezed_teeth
235,metal_nut/good
236,carpet/color
237,screw/scratch_head
238,leather/glue
239,hazelnut/good
240,tile/good
241,metal_nut/color
242,capsule/crack
243,transistor/misplaced
244,screw/good
245,pill/good
246,pill/crack
247,pill/faulty_imprint
248,tile/gray_stroke
249,pill/crack
250,hazelnut/cut
251,bottle/broken_small
252,cable/good
253,leather/color
254,leather/cut
255,cable/cut_outer_insulation
256,leather/cut
257,zipper/combined
258,hazelnut/good
259,screw/scratch_neck
260,pill/contamination
261,metal_nut/flip
262,toothbrush/defective
263,transistor/good
264,metal_nut/flip
265,transistor/bent_lead
266,wood/good
267,metal_nut/scratch
268,metal_nut/bent
269,transistor/good
270,cable/missing_wire
271,pill/combined
272,cable/good
273,pill/contamination
274,pill/good
275,capsule/poke
276,bottle/broken_large
277,tile/good
278,screw/thread_top
279,carpet/cut
280,capsule/scratch
281,capsule/crack
282,zipper/broken_teeth
283,zipper/broken_teeth
284,leather/cut
285,hazelnut/good
286,pill/color
287,capsule/poke
288,cable/combined
289,leather/color
290,capsule/poke
291,hazelnut/print
292,zipper/rough
293,metal_nut/color
294,toothbrush/good
295,zipper/fabric_border
296,grid/bent
297,carpet/color
298,grid/bent
299,transistor/bent_lead
300,cable/bent_wire
301,tile/good
302,screw/good
303,zipper/fabric_interior
304,transistor/good
305,leather/poke
306,tile/glue_strip
307,cable/good
308,zipper/good
309,zipper/split_teeth
310,tile/oil
311,leather/glue
312,carpet/good
313,toothbrush/defective
314,leather/cut
315,metal_nut/good
316,hazelnut/cut
317,tile/good
318,bottle/broken_large
319,tile/oil
320,hazelnut/hole
321,tile/gray_stroke
322,carpet/color
323,tile/glue_strip
324,hazelnut/hole
325,cable/good
326,metal_nut/scratch
327,screw/scratch_head
328,zipper/rough
329,hazelnut/hole
330,cable/combined
331,leather/good
332,cable/bent_wire
333,hazelnut/cut
334,carpet/metal_contamination
335,hazelnut/cut
336,pill/good
337,metal_nut/flip
338,capsule/crack
339,tile/glue_strip
340,leather/glue
341,leather/poke
342,carpet/good
343,hazelnut/good
344,zipper/good
345,leather/cut
346,hazelnut/good
347,zipper/broken_teeth
348,tile/good
349,hazelnut/print
350,cable/missing_cable
351,pill/color
352,hazelnut/cut
353,pill/scratch
354,zipper/split_teeth
355,bottle/broken_small
356,zipper/good
357,screw/scratch_neck
358,metal_nut/bent
359,pill/combined
360,screw/scratch_neck
361,screw/scratch_neck
362,tile/oil
363,metal_nut/color
364,carpet/color
365,carpet/good
366,carpet/metal_contamination
367,metal_nut/bent
368,bottle/broken_large
369,capsule/poke
370,cable/poke_insulation
371,screw/good
372,bottle/good
373,carpet/good
374,screw/good
375,carpet/cut
376,pill/contamination
377,leather/good
378,tile/glue_strip
379,toothbrush/good
380,zipper/squeezed_teeth
381,cable/cut_inner_insulation
382,tile/crack
383,hazelnut/hole
384,hazelnut/print
385,carpet/thread
386,carpet/metal_contamination
387,screw/thread_side
388,tile/gray_stroke
389,hazelnut/good
390,screw/thread_top
391,toothbrush/good
392,capsule/faulty_imprint
393,zipper/rough
394,screw/thread_top
395,metal_nut/bent
396,transistor/damaged_case
397,metal_nut/good
398,pill/scratch
399,screw/manipulated_front
400,metal_nut/scratch
401,pill/contamination
402,zipper/split_teeth
403,zipper/fabric_interior
404,zipper/fabric_border
405,bottle/contamination
406,pill/good
407,zipper/split_teeth
408,tile/good
409,screw/manipulated_front
410,wood/liquid
411,screw/good
412,metal_nut/bent
413,carpet/thread
414,bottle/contamination
415,zipper/fabric_interior
416,pill/color
417,wood/combined
418,transistor/good
419,screw/thread_side
420,leather/good
421,zipper/good
422,pill/scratch
423,toothbrush/defective
424,zipper/broken_teeth
425,screw/scratch_neck
426,toothbrush/good
427,metal_nut/bent
428,tile/gray_stroke
429,capsule/good
430,grid/bent
431,leather/glue
432,capsule/crack
433,screw/scratch_neck
434,pill/contamination
435,capsule/crack
436,carpet/hole
437,transistor/good
438,screw/scratch_neck
439,screw/scratch_head
440,capsule/squeeze
441,cable/poke_insulation
442,hazelnut/print
443,carpet/thread
444,pill/crack
445,zipper/rough
446,wood/combined
447,metal_nut/color
448,screw/scratch_neck
449,carpet/thread
450,hazelnut/print
451,zipper/good
452,hazelnut/print
453,metal_nut/good
454,pill/color
455,pill/combined
456,cable/poke_insulation
457,leather/good
458,capsule/good
459,capsule/scratch
460,bottle/broken_large
461,zipper/good
462,toothbrush/defective
463,hazelnut/crack
464,grid/broken
465,pill/good
466,capsule/faulty_imprint
467,metal_nut/good
468,cable/good
469,bottle/good
470,leather/fold
471,carpet/good
472,capsule/faulty_imprint
473,pill/contamination
474,leather/good
475,pill/color
476,transistor/good
477,carpet/thread
478,cable/cut_outer_insulation
479,leather/good
480,cable/good
481,tile/rough
482,capsule/scratch
483,cable/cable_swap
484,pill/scratch
485,hazelnut/crack
486,zipper/fabric_interior
487,pill/pill_type
488,metal_nut/flip
489,pill/scratch
490,pill/scratch
491,hazelnut/hole
492,hazelnut/crack
493,grid/thread
494,zipper/combined
495,screw/scratch_head
496,cable/cable_swap
497,hazelnut/crack
498,hazelnut/good
499,cable/bent_wire
500,bottle/contamination
501,zipper/broken_teeth
502,wood/scratch
503,screw/thread_side
504,screw/thread_side
505,screw/scratch_head
506,pill/contamination
507,hazelnut/crack
508,tile/oil
509,leather/glue
510,pill/contamination
511,screw/manipulated_front
512,toothbrush/good
513,grid/metal_contamination
514,pill/crack
515,pill/good
516,pill/good
517,cable/bent_wire
518,cable/cut_outer_insulation
519,transistor/good
520,transistor/good
521,leather/poke
522,bottle/broken_large
523,grid/good
524,bottle/broken_small
525,carpet/good
526,leather/cut
527,grid/good
528,pill/good
529,bottle/broken_large
530,carpet/metal_contamination
531,pill/color
532,bottle/good
533,metal_nut/flip
534,capsule/squeeze
535,zipper/fabric_border
536,capsule/poke
537,zipper/combined
538,screw/scratch_neck
539,transistor/good
540,capsule/squeeze
541,cable/good
542,transistor/good
543,carpet/hole
544,zipper/split_teeth
545,carpet/color
546,transistor/damaged_case
547,zipper/rough
548,zipper/rough
549,grid/glue
550,zipper/combined
551,cable/bent_wire
552,bottle/broken_small
553,cable/good
554,leather/fold
555,screw/thread_side
556,zipper/broken_teeth
557,zipper/good
558,capsule/poke
559,leather/color
560,pill/good
561,transistor/cut_lead
562,hazelnut/good
563,cable/good
564,leather/poke
565,carpet/color
566,capsule/scratch
567,hazelnut/hole
568,cable/poke_insulation
569,cable/bent_wire
570,bottle/good
571,tile/oil
572,hazelnut/cut
573,leather/glue
574,grid/thread
575,wood/scratch
576,screw/scratch_head
577,cable/good
578,metal_nut/scratch
579,carpet/hole
580,zipper/good
581,pill/color
582,grid/bent
583,leather/good
584,bottle/broken_small
585,carpet/metal_contamination
586,cable/missing_wire
587,hazelnut/cut
588,metal_nut/bent
589,bottle/good
590,bottle/contamination
591,screw/thread_top
592,capsule/good
593,screw/good
594,capsule/squeeze
595,cable/good
596,leather/color
597,bottle/good
598,cable/missing_cable
599,screw/good
600,transistor/good
601,zipper/squeezed_teeth
602,hazelnut/good
603,cable/good
604,transistor/damaged_case
605,screw/thread_top
606,pill/pill_type
607,cable/cut_outer_insulation
608,carpet/hole
609,cable/good
610,screw/scratch_head
611,pill/crack
612,screw/thread_side
613,transistor/good
614,carpet/cut
615,zipper/rough
616,leather/cut
617,transistor/misplaced
618,transistor/good
619,screw/scratch_head
620,screw/scratch_neck
621,zipper/split_teeth
622,tile/crack
623,capsule/poke
624,leather/good
625,carpet/metal_contamination
626,capsule/good
627,capsule/squeeze
628,leather/poke
629,leather/poke
630,wood/liquid
631,leather/color
632,toothbrush/good
633,cable/good
634,toothbrush/good
635,pill/combined
636,cable/good
637,pill/faulty_imprint
638,hazelnut/good
639,screw/manipulated_front
640,carpet/color
641,metal_nut/good
642,leather/good
643,pill/crack
644,pill/combined
645,transistor/good
646,metal_nut/color
647,zipper/broken_teeth
648,tile/oil
649,grid/metal_contamination
650,grid/thread
651,screw/thread_side
652,zipper/fabric_border
653,tile/rough
654,pill/scratch
655,hazelnut/good
656,transistor/good
657,carpet/good
658,metal_nut/flip
659,transistor/good
660,pill/crack
661,carpet/color
662,toothbrush/defective
663,leather/glue
664,leather/good
665,carpet/good
666,leather/color
667,grid/metal_contamination
668,carpet/thread
669,cable/bent_wire
670,pill/faulty_imprint
671,screw/thread_top
672,pill/crack
673,bottle/broken_small
674,tile/good
675,screw/thread_top
676,zipper/good
677,cable/cut_inner_insulation
678,transistor/bent_lead
679,leather/color
680,capsule/faulty_imprint
681,carpet/good
682,screw/thread_side
683,cable/missing_cable
684,toothbrush/defective
685,grid/metal_contamination
686,screw/scratch_head
687,screw/manipulated_front
688,leather/color
689,carpet/thread
690,grid/good
691,bottle/broken_large
692,screw/good
693,pill/faulty_imprint
694,wood/scratch
695,cable/good
696,pill/combined
697,metal_nut/bent
698,screw/good
699,transistor/good
700,carpet/hole
701,carpet/color
702,transistor/good
703,carpet/metal_contamination
704,grid/thread
705,tile/glue_strip
706,pill/good
707,carpet/cut
708,zipper/split_teeth
709,hazelnut/crack
710,zipper/good
711,metal_nut/color
712,metal_nut/scratch
713,transistor/good
714,transistor/misplaced
715,pill/crack
716,carpet/color
717,hazelnut/good
718,zipper/split_teeth
719,cable/combined
720,capsule/good
721,capsule/squeeze
722,hazelnut/print
723,metal_nut/bent
724,tile/gray_stroke
725,metal_nut/good
726,cable/good
727,carpet/thread
728,pill/faulty_imprint
729,screw/thread_side
730,cable/good
731,toothbrush/defective
732,metal_nut/scratch
733,tile/glue_strip
734,leather/good
735,cable/cut_inner_insulation
736,leather/cut
737,screw/good
738,cable/good
739,zipper/fabric_border
740,screw/thread_top
741,pill/combined
742,bottle/broken_large
743,metal_nut/scratch
744,carpet/color
745,pill/crack
746,zipper/fabric_border
747,hazelnut/good
748,cable/bent_wire
749,zipper/good
750,transistor/good
751,leather/glue
752,hazelnut/good
753,transistor/misplaced
754,screw/scratch_neck
755,tile/crack
756,zipper/rough
757,hazelnut/good
758,hazelnut/good
759,hazelnut/cut
760,zipper/rough
761,metal_nut/color
762,pill/good
763,metal_nut/bent
764,pill/contamination
765,cable/missing_wire
766,grid/thread
767,zipper/rough
768,capsule/scratch
769,wood/hole
770,cable/combined
771,grid/broken
772,cable/missing_cable
773,grid/glue
774,zipper/broken_teeth
775,hazelnut/good
776,hazelnut/crack
777,zipper/fabric_border
778,screw/thread_top
779,zipper/rough
780,hazelnut/cut
781,tile/good
782,wood/liquid
783,capsule/good
784,leather/good
785,wood/scratch
786,cable/missing_wire
787,tile/rough
788,tile/rough
789,bottle/broken_small
790,tile/crack
791,transistor/good
792,bottle/broken_large
793,zipper/fabric_border
794,capsule/faulty_imprint
795,screw/good
796,toothbrush/defective
797,tile/oil
798,screw/scratch_neck
799,zipper/broken_teeth
800,leather/poke
801,zipper/rough
802,grid/broken
803,zipper/good
804,tile/oil
805,zipper/fabric_border
806,zipper/combined
807,transistor/bent_lead
808,wood/good
809,screw/manipulated_front
810,carpet/hole
811,cable/good
812,tile/gray_stroke
813,wood/hole
814,pill/faulty_imprint
815,zipper/split_teeth
816,hazelnut/crack
817,wood/scratch
818,leather/poke
819,hazelnut/crack
820,metal_nut/flip
821,cable/good
822,grid/broken
823,pill/scratch
824,metal_nut/bent
825,pill/crack
826,grid/bent
827,hazelnut/crack
828,cable/good
829,transistor/damaged_case
830,pill/contamination
831,carpet/hole
832,carpet/good
833,pill/crack
834,transistor/cut_lead
835,screw/good
836,leather/good
837,capsule/good
838,carpet/hole
839,pill/scratch
840,metal_nut/good
841,bottle/contamination
842,capsule/crack
843,screw/good
844,leather/good
845,tile/rough
846,screw/scratch_neck
847,metal_nut/bent
848,metal_nut/scratch
849,tile/glue_strip
850,screw/manipulated_front
851,toothbrush/defective
852,leather/good
853,transistor/good
854,screw/good
855,leather/good
856,screw/scratch_head
857,bottle/good
858,pill/good
859,wood/good
860,zipper/fabric_interior
861,transistor/good
862,tile/oil
863,tile/gray_stroke
864,carpet/cut
865,tile/good
866,pill/contamination
867,metal_nut/scratch
868,screw/manipulated_front
869,leather/color
870,hazelnut/good
871,cable/good
872,cable/bent_wire
873,wood/color
874,capsule/poke
875,leather/good
876,metal_nut/good
877,carpet/cut
878,leather/cut
879,cable/cut_inner_insulation
880,transistor/bent_lead
881,screw/thread_top
882,carpet/cut
883,grid/broken
884,capsule/faulty_imprint
